dataset_id	sample_id	tier1	tier2	tier3	generic_sample_type	parental_cell_type	final_cell_type	include_blood	include_imac	platform	display_metadata
6646	7509379008_E	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	7509379008_D	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	7509379008_G	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	7509379008_A	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	7509379008_C	myeloid	Monocyte	adult	monocyte	monocyte	null	true	true	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	7509379008_B	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	7509379008_I	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	7509379008_K	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	5666194007_E	myeloid	Monocyte	adult	monocyte	monocyte	null	true	false	HumanHT-12	Monocyte CD14+  adult
6646	7509379082_J	myeloid	Monocyte	adult	monocyte	monocyte	null	false	true	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	7509379082_I	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	5666194007_F	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5666194007_A	myeloid	Monocyte	adult	monocyte	monocyte	null	true	false	HumanHT-12	Monocyte CD14+  adult
6646	5666194007_C	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5666194007_B	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	7509379082_C	myeloid	Monocyte	adult	monocyte	monocyte	null	true	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	5666194007_L	myeloid	Monocyte	adult	monocyte	monocyte	null	true	false	HumanHT-12	Monocyte CD14+  adult
6646	7509379082_A	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	7509379082_G	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	5666194007_H	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5666194007_K	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5666194007_J	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	6898368066_K	myeloid	Monocyte	adult	monocyte	monocyte	null	false	true	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	6898368066_J	myeloid	Monocyte	adult	monocyte	monocyte	null	true	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	6898368066_I	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	6898368066_H	myeloid	Monocyte	adult	monocyte	monocyte	null	false	true	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	6898368066_L	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	6898368066_C	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	6898368066_B	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	6898368066_A	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	6898368066_G	myeloid	Monocyte	adult	monocyte	monocyte	null	true	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	6898368066_F	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	6898368066_E	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	6898368066_D	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	6898376063_I	myeloid	Monocyte	adult	monocyte	monocyte	null	false	true	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	9257631032_L	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	6898376063_K	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	6898376063_J	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	5645810051_B	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	6898376063_L	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	9257631032_K	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ media 24h adult
6646	5645810051_A	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	9257631032_E	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	9257631032_D	myeloid	Monocyte	adult	monocyte	monocyte	null	false	true	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	5645810051_L	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	9257631032_F	myeloid	Monocyte	adult	monocyte	monocyte	null	true	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	5645810051_J	myeloid	Monocyte	adult	monocyte	monocyte	null	false	true	HumanHT-12	Monocyte CD14+  adult
6646	6898376063_D	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ media 24h adult
6646	6898376063_G	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ media 24h adult
6646	6898376063_F	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	5655508009_A	myeloid	Monocyte	adult	monocyte	monocyte	null	true	false	HumanHT-12	Monocyte CD14+  adult
6646	5655508009_B	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5655508009_C	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	6991010010_J	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	6991010010_K	myeloid	Monocyte	adult	monocyte	monocyte	null	false	true	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	6991010010_H	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	6991010010_I	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	5655508009_H	myeloid	Monocyte	adult	monocyte	monocyte	null	false	true	HumanHT-12	Monocyte CD14+  adult
6646	6991010010_G	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	5655508009_J	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	6991010010_E	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	5655508009_L	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	6991010010_C	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ media 24h adult
6646	6991010010_A	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	9257631036_I	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	9257631036_H	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	9257631036_J	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	9257631036_L	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	9257631036_A	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	9257631036_C	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	9257631036_B	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	9257631036_E	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	9257631036_D	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	9257631036_G	myeloid	Monocyte	adult	monocyte	monocyte	null	true	true	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	9257631036_F	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	5666194008_F	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5666194008_G	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5666194008_D	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5666194008_E	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5666194008_B	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5666194008_C	myeloid	Monocyte	adult	monocyte	monocyte	null	false	true	HumanHT-12	Monocyte CD14+  adult
6646	5666194008_A	myeloid	Monocyte	adult	monocyte	monocyte	null	false	true	HumanHT-12	Monocyte CD14+  adult
6646	5666194008_L	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5666194008_J	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5666194008_K	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5666194008_H	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5666194008_I	myeloid	Monocyte	adult	monocyte	monocyte	null	true	false	HumanHT-12	Monocyte CD14+  adult
6646	9249896047_I	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	9249896082_A	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	9249896047_K	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	9249896082_C	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	6898376067_I	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	6898376067_H	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	9249896082_F	myeloid	Monocyte	adult	monocyte	monocyte	null	false	true	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	9249896082_G	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	9249896082_H	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	6898376067_D	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	6898376067_G	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	6898376067_F	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	9249896082_L	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	9249896047_D	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	9249896047_G	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	6898376067_B	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	9257631069_E	myeloid	Monocyte	adult	monocyte	monocyte	null	false	true	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	9257622100_F	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	9257631069_G	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	9257622100_D	myeloid	Monocyte	adult	monocyte	monocyte	null	true	false	HumanHT-12	Monocyte CD14+ media 24h adult
6646	9252616034_F	myeloid	Monocyte	adult	monocyte	monocyte	null	false	true	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	9257631069_A	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	9257631069_C	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	9257631069_I	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	9257622100_J	myeloid	Monocyte	adult	monocyte	monocyte	null	true	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	9257622100_I	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	9257622100_H	myeloid	Monocyte	adult	monocyte	monocyte	null	true	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	5645810035_D	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5645810035_E	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5645810035_F	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5645810035_G	myeloid	Monocyte	adult	monocyte	monocyte	null	true	false	HumanHT-12	Monocyte CD14+  adult
6646	5645810035_A	myeloid	Monocyte	adult	monocyte	monocyte	null	true	false	HumanHT-12	Monocyte CD14+  adult
6646	5645810035_B	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5645810035_C	myeloid	Monocyte	adult	monocyte	monocyte	null	true	false	HumanHT-12	Monocyte CD14+  adult
6646	5645810035_L	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5645810035_H	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5645810035_I	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5645810035_J	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5645810035_K	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	6747973056_G	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	6747973056_F	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	6747973056_E	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	6747973056_D	myeloid	Monocyte	adult	monocyte	monocyte	null	false	true	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	6747973056_C	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	6747973056_B	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	6747973056_A	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	6747973056_L	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	6747973056_K	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	6747973056_J	myeloid	Monocyte	adult	monocyte	monocyte	null	false	true	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	6747973056_I	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	6747973056_H	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	7509379017_I	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	7509379017_H	myeloid	Monocyte	adult	monocyte	monocyte	null	false	true	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	7509379017_K	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	7509379017_J	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	7509379017_L	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	7509379017_A	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	7509379017_C	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ IFN-gamma 24h adult
6646	7509379017_B	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	7509379017_E	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	7509379017_D	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	7509379017_G	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 2h adult
6646	7509379017_F	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+ LPS 24h adult
6646	5655508016_L	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5645810032_L	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5655508016_H	myeloid	Monocyte	adult	monocyte	monocyte	null	false	true	HumanHT-12	Monocyte CD14+  adult
6646	5655508016_I	myeloid	Monocyte	adult	monocyte	monocyte	null	true	false	HumanHT-12	Monocyte CD14+  adult
6646	5645810032_I	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5645810032_H	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5645810032_G	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
6646	5655508016_E	myeloid	Monocyte	adult	monocyte	monocyte	null	false	false	HumanHT-12	Monocyte CD14+  adult
